"fraction","iteration","taxon_from","taxon_to","weight"
0.4,1,"1","V1",-1
0.4,1,"1","V2",0
0.4,1,"1","V3",0
0.4,1,"1","V4",0
0.4,1,"1","V5",0
0.4,1,"1","V6",0
0.4,1,"1","V7",0
0.4,1,"1","V8",0
0.4,1,"1","V9",0
0.4,1,"1","V10",0
0.4,1,"1","V11",0
0.4,1,"1","V12",0
0.4,1,"1","V13",0
0.4,1,"1","V14",0
0.4,1,"1","V15",0
0.4,1,"1","V16",0
0.4,1,"1","V17",0
0.4,1,"1","V18",0
0.4,1,"1","V19",0
0.4,1,"1","V20",0
0.4,1,"1","V21",0
0.4,1,"1","V22",0
0.4,1,"1","V23",0
0.4,1,"1","V24",0
0.4,1,"1","V25",0
0.4,1,"1","V26",0
0.4,1,"1","V27",0
0.4,1,"1","V28",0
0.4,1,"1","V29",0
0.4,1,"1","V30",0
0.4,1,"1","V31",0
0.4,1,"1","V32",0
0.4,1,"1","V33",0
0.4,1,"1","V34",0
0.4,1,"1","V35",0
0.4,1,"1","V36",0
0.4,1,"1","V37",0
0.4,1,"1","V38",0
0.4,1,"1","V39",0
0.4,1,"1","V40",0
0.4,1,"1","V41",0
0.4,1,"1","V42",0
0.4,1,"1","V43",0
0.4,1,"1","V44",0
0.4,1,"1","V45",0
0.4,1,"1","V46",0
0.4,1,"1","V47",0
0.4,1,"1","V48",0
0.4,1,"1","V49",0
0.4,1,"1","V50",0
0.4,1,"1","V51",0
0.4,1,"1","V52",0
0.4,1,"1","V53",0
0.4,1,"1","V54",0
0.4,1,"1","V55",0
0.4,1,"1","V56",0
0.4,1,"1","V57",0
0.4,1,"1","V58",0
0.4,1,"1","V59",0
0.4,1,"1","V60",0
0.4,1,"1","V61",0
0.4,1,"1","V62",0
0.4,1,"1","V63",0
0.4,1,"1","V64",0
0.4,1,"1","V65",0
0.4,1,"1","V66",0
0.4,1,"1","V67",0
0.4,1,"1","V68",0
0.4,1,"1","V69",0
0.4,1,"1","V70",0
0.4,1,"1","V71",0
0.4,1,"1","V72",0
0.4,1,"1","V73",0
0.4,1,"1","V74",0
0.4,1,"1","V75",0
0.4,1,"1","V76",0
0.4,1,"1","V77",0
0.4,1,"1","V78",0
0.4,1,"1","V79",0
0.4,1,"1","V80",0
0.4,1,"1","V81",0
0.4,1,"1","V82",0
0.4,1,"1","V83",0
0.4,1,"1","V84",0
0.4,1,"1","V85",0
0.4,1,"1","V86",0
0.4,1,"1","V87",0
0.4,1,"1","V88",0
0.4,1,"1","V89",0
0.4,1,"1","V90",0
0.4,1,"2","V1",0
0.4,1,"2","V2",-1
0.4,1,"2","V3",0
0.4,1,"2","V4",0
0.4,1,"2","V5",0
0.4,1,"2","V6",0
0.4,1,"2","V7",0
0.4,1,"2","V8",0
0.4,1,"2","V9",0
0.4,1,"2","V10",0
0.4,1,"2","V11",0
0.4,1,"2","V12",0
0.4,1,"2","V13",0
0.4,1,"2","V14",0
0.4,1,"2","V15",0
0.4,1,"2","V16",0
0.4,1,"2","V17",0
0.4,1,"2","V18",0
0.4,1,"2","V19",0
0.4,1,"2","V20",0
0.4,1,"2","V21",0
0.4,1,"2","V22",0
0.4,1,"2","V23",0
0.4,1,"2","V24",0
0.4,1,"2","V25",0
0.4,1,"2","V26",0
0.4,1,"2","V27",0
0.4,1,"2","V28",0
0.4,1,"2","V29",0
0.4,1,"2","V30",0
0.4,1,"2","V31",0
0.4,1,"2","V32",0
0.4,1,"2","V33",0
0.4,1,"2","V34",0
0.4,1,"2","V35",0
0.4,1,"2","V36",0
0.4,1,"2","V37",0
0.4,1,"2","V38",0
0.4,1,"2","V39",0
0.4,1,"2","V40",0
0.4,1,"2","V41",0
0.4,1,"2","V42",0
0.4,1,"2","V43",0
0.4,1,"2","V44",0
0.4,1,"2","V45",0
0.4,1,"2","V46",0
0.4,1,"2","V47",0
0.4,1,"2","V48",0
0.4,1,"2","V49",0
0.4,1,"2","V50",0
0.4,1,"2","V51",0
0.4,1,"2","V52",0
0.4,1,"2","V53",0
0.4,1,"2","V54",0
0.4,1,"2","V55",0
0.4,1,"2","V56",0
0.4,1,"2","V57",0
0.4,1,"2","V58",0
0.4,1,"2","V59",0
0.4,1,"2","V60",0
0.4,1,"2","V61",0
0.4,1,"2","V62",0
0.4,1,"2","V63",0
0.4,1,"2","V64",0
0.4,1,"2","V65",0
0.4,1,"2","V66",0
0.4,1,"2","V67",0
0.4,1,"2","V68",0
0.4,1,"2","V69",0
0.4,1,"2","V70",0
0.4,1,"2","V71",0
0.4,1,"2","V72",0
0.4,1,"2","V73",0
0.4,1,"2","V74",0
0.4,1,"2","V75",0
0.4,1,"2","V76",0
0.4,1,"2","V77",0
0.4,1,"2","V78",0
0.4,1,"2","V79",0
0.4,1,"2","V80",0
0.4,1,"2","V81",0
0.4,1,"2","V82",0
0.4,1,"2","V83",0
0.4,1,"2","V84",0
0.4,1,"2","V85",0
0.4,1,"2","V86",0
0.4,1,"2","V87",0
0.4,1,"2","V88",0
0.4,1,"2","V89",0
0.4,1,"2","V90",0
0.4,1,"3","V1",0
0.4,1,"3","V2",0
0.4,1,"3","V3",-1
0.4,1,"3","V4",0
0.4,1,"3","V5",0
0.4,1,"3","V6",0
0.4,1,"3","V7",0
0.4,1,"3","V8",0
0.4,1,"3","V9",0
0.4,1,"3","V10",0
0.4,1,"3","V11",0
0.4,1,"3","V12",0
0.4,1,"3","V13",0
0.4,1,"3","V14",0
0.4,1,"3","V15",0
0.4,1,"3","V16",0
0.4,1,"3","V17",0
0.4,1,"3","V18",0
0.4,1,"3","V19",0
0.4,1,"3","V20",0
0.4,1,"3","V21",0
0.4,1,"3","V22",0
0.4,1,"3","V23",0
0.4,1,"3","V24",0
0.4,1,"3","V25",0
0.4,1,"3","V26",0
0.4,1,"3","V27",0
0.4,1,"3","V28",0
0.4,1,"3","V29",0
0.4,1,"3","V30",0
0.4,1,"3","V31",0
0.4,1,"3","V32",0
0.4,1,"3","V33",0
0.4,1,"3","V34",0
0.4,1,"3","V35",0
0.4,1,"3","V36",0
0.4,1,"3","V37",0
0.4,1,"3","V38",0
0.4,1,"3","V39",0
0.4,1,"3","V40",0
0.4,1,"3","V41",0
0.4,1,"3","V42",0
0.4,1,"3","V43",0
0.4,1,"3","V44",0
0.4,1,"3","V45",0
0.4,1,"3","V46",0
0.4,1,"3","V47",0
0.4,1,"3","V48",0
0.4,1,"3","V49",0
0.4,1,"3","V50",0
0.4,1,"3","V51",0
0.4,1,"3","V52",0
0.4,1,"3","V53",0
0.4,1,"3","V54",0
0.4,1,"3","V55",0
0.4,1,"3","V56",0
0.4,1,"3","V57",0
0.4,1,"3","V58",0
0.4,1,"3","V59",0
0.4,1,"3","V60",0
0.4,1,"3","V61",0
0.4,1,"3","V62",0
0.4,1,"3","V63",0
0.4,1,"3","V64",0
0.4,1,"3","V65",0
0.4,1,"3","V66",0
0.4,1,"3","V67",0
0.4,1,"3","V68",0
0.4,1,"3","V69",0
0.4,1,"3","V70",0
0.4,1,"3","V71",0
0.4,1,"3","V72",0
0.4,1,"3","V73",0
0.4,1,"3","V74",0
0.4,1,"3","V75",0
0.4,1,"3","V76",0
0.4,1,"3","V77",0
0.4,1,"3","V78",0
0.4,1,"3","V79",0
0.4,1,"3","V80",0
0.4,1,"3","V81",0
0.4,1,"3","V82",0
0.4,1,"3","V83",0
0.4,1,"3","V84",0
0.4,1,"3","V85",0
0.4,1,"3","V86",0
0.4,1,"3","V87",0
0.4,1,"3","V88",0
0.4,1,"3","V89",0
0.4,1,"3","V90",0
0.4,1,"4","V1",0
0.4,1,"4","V2",0
0.4,1,"4","V3",0
0.4,1,"4","V4",-1
0.4,1,"4","V5",0
0.4,1,"4","V6",0.00516312411207886
0.4,1,"4","V7",0
0.4,1,"4","V8",0
0.4,1,"4","V9",0
0.4,1,"4","V10",0
0.4,1,"4","V11",0.0352955654396134
0.4,1,"4","V12",0
0.4,1,"4","V13",0
0.4,1,"4","V14",0
0.4,1,"4","V15",0
0.4,1,"4","V16",0
0.4,1,"4","V17",0
